ABIA50     2585 17.96 P0038      
CELU15     3003 864.62 P0009      
CETP100    2635 32.10 P0009      
CIMET400   4320 212.25 P0009      
CKMU1      3619 626.50 P0009      
COCP100    2637 15562.00 P0009      
CEMT400    2468 399.46 P0010      
CETSPRAY   2106 39.80 P0010      
CIPT500    2403 847.83 P0010      
ANDA3      3434 36.95 P0012      
BETGCR15    385 795.01 P0012      
BOTS10     3384 99.10 P0012      
BURL100      30 589.93 P0012      
CIDS90     3023 570.22 P0012      
COLT0.5     659 101.35 P0012      
CORT25      666 122.37 P0012      
ADAC10     1236 944.18 P0014      
AGASIM     3185 17.80 P0014      
AGIS15     3247 16.00 P0014      
ALBST      3055 596.36 P0014      
ALPA2        27 19.10 P0014      
ANTT1      2985 481.40 P0014      
CAPT12.5   2774 332.54 P0014      
CART100    3733 963.18 P0014      
CIMIT200   4233 903.17 P0014      
ACAT500    1298 211.77 P0034      
BENZLKG    3258 49.00 P0034      
BUR150     3047 252.93 P0034      
CLAA1      1904 518.59 P0034      
COLS80      661 989.76 P0034      
CONU25     2139 132.56 P0034      
ACEAR      3374 415.52 P0027      
ADRA1      2231 272.79 P0027      
AMIA1      3053 42.50 P0027      
BETTV200   3756 272.70 P0027      
CAP24      2902 660.44 P0027      
ACEL5      3322 80.60 P0019      
ALCUKG      338 716.45 P0019      
ARAOKG     1261 818.37 P0019      
BAR        2868 818.12 P0019      
CART90     3303 858.94 P0019      
COLP30     3021 73.70 P0019      
AETA130    3723 55.21 P0016      
ALHLKG     3152 13.40 P0016      
AUGA1      3423 12.40 P0016      
BCGA75     2114 57.48 P0016      
CKIMS      3681 246.10 P0016      
CORL300    3263 520.91 P0016      
COW5       3610 317.30 P0016      
AMYA100      86 935.88 P0018      
ANAA25      635 732.58 P0018      
ATRA1       115 180.73 P0018      
BACLKG      590 11.00 P0018      
BSSPS500   3945 203.50 P0018      
CALT600    3302 631.00 P0018      
CFA41      3759 60.00 P0018      
CFB170     3467 4305.80 P0018      
CIDL5      2517 28.40 P0018      
AQUU25      341 97.34 P0017      
BLEA15      166 162.50 P0017      
CAMT200      68 686.69 P0017      
CIPT750    3143 10.32 P0017      
CKLCS      3675 353.90 P0017      
AKNEL25    4332 684.71 P0022      
CLOA500     649 968.52 P0022      
ALBA50      948 120.60 P0020      
CELCO10    1980 167.55 P0020      
AMIAWO     3030 34.30 P0021      
CKSIS      3662 357.00 P0021      
AKNL25     2966 21.69 P0024      
AMIA1WO    3346 61.80 P0024      
BENPKG     3110 15.10 P0024      
CELC300    1158 955.46 P0024      
CRAA1       658 2870.00 P0024      
ALUC475      34 787.90 P0023      
AMIA5WE    3347 768.64 P0023      
ARAT500    4031 828.98 P0023      
BOTB200    2677 994.36 P0023      
CLOPT2     4182 421.10 P0023      
ALDT500    1164 815.96 P0025      
ASPP100    2847 75.50 P0025      
BOTS100    2680 202.97 P0025      
ANCT500       3 820.84 P0026      
CASOKG     1266 981.79 P0026      
COMST9     2822 28.80 P0026      
CORDROP    2900 104.40 P0026      
ALKA50     3880 165.00 P0030      
BEAA2       845 303.14 P0030      
BETT25     4241 159.39 P0030      
BETTCO      538 526.10 P0030      
BONT25     3873 649.27 P0030      
CORT10     1038 507.20 P0030      
AMMCPKG    3160 624.39 P0029      
BREP5      3594 33.20 P0029      
COMST50    2990 53.30 P0029      
ANAT10      633 316.80 P0028      
CAT5       3606 34.80 P0028      
CETSH100    567 151.86 P0028      
CIMT400    4319 335.53 P0028      
ALLT300    1856 332.61 P0033      
ANTSCS5    2758 61.40 P0033      
BACU15     3943 15.50 P0033      
CONT20     2961 493.96 P0033      
CORK       2815 700.14 P0033      
AMIA250      53 427.62 P0031      
BENAPKG    3329 99.80 P0031      
BENL100    2481 61.84 P0031      
BLU        4200 794.03 P0031      
CAPP100    2852 21.30 P0031      
CELGCR15   3000 448.01 P0031      
ANTA1      1366 983.26 P0032      
ATAT10      983 983.02 P0032      
BEAA10     2457 756.27 P0032      
CEFS250    4300 84.39 P0032      
CKBHS      3677 324.70 P0032      
ALCL95     2511 648.52 P0036      
CALA10     1853 177.62 P0036      
CALT500     196 383.04 P0036      
CELGU15    3001 791.70 P0036      
ALPT50      953 94.43 P0035      
AMOC500    2326 870.76 P0035      
ARTT5       141 888.95 P0035      
CKAFS      3660 319.50 P0035      
CORA50     1806 745.43 P0035      
ALPC0.25      1 489.43 P0037      
AZOCO10    1646 711.16 P0037      
BETSC25     156 693.18 P0037      
CETCRCO     343 10.40 P0037      
CONL3.5    4134 67.30 P0037      
ABIA500    1147 36.15 P0085      
AGIVC20    4135 19.00 P0085      
AMMOPKG    3183 521.66 P0085      
ANIL1      3743 14.00 P0085      
CCNC40      179 237.86 P0085      
CHAL500    3149 323.20 P0085      
COLPKG     3194 22.40 P0085      
CORA1      1639 258.62 P0085      
ABISU50    1915 517.53 P0083      
AZAT50      122 537.94 P0083      
BENU5       143 187.85 P0083      
CLOT0.5     637 147.48 P0083      
ABIT100    1978 711.11 P0055      
BIOP350    3436 18.70 P0055      
CATG5      3530 102.10 P0055      
CHAF20     2993 935.86 P0055      
CLITA      2488 17.00 P0055      
CODLCO     3311 403.33 P0055      
ABRSU150   1300 262.58 P0043      
AKSR1      3774 434.50 P0043      
ANTB4      2986 512.20 P0043      
AZAA1      3026 38.50 P0043      
CECS250    3289 15.40 P0043      
CIDA80      906 445.58 P0043      
COTWOOL    2894 670.15 P0043      
ABS        3621 501.01 P0041      
ACASU150   4264 622.60 P0041      
COM100     2480 74.70 P0041      
AGAR       3070 51.00 P0039      
ALZT600    2394 904.44 P0039      
AMVA12     4138 175.00 P0039      
BENTRKG    2567 434.47 P0039      
CARCO3     2095 187.30 P0039      
AMSA75     2581 285.88 P0040      
CLEA20     3413 805.70 P0040      
ATAT25      984 565.27 P0042      
CCNC100     178 770.33 P0042      
COSA500      11 32.10 P0042      
ACCG10     3513 86.30 P0052      
AMBA50     3862 640.80 P0052      
BRAIN      3167 101.60 P0052      
CANSO20     644 188.78 P0052      
ADOL100    2217 840.32 P0045      
BAYA5      1974 40.30 P0045      
BETE100     153 41.80 P0045      
AK300      3033 10.50 P0044      
CAMPKG     3139 82.09 P0044      
ADRA10       18 36.90 P0046      
AERL20     2926 16.40 P0046      
AZOT50     4212 639.50 P0046      
BLUE       2498 517.34 P0046      
CASL10     3497 87.74 P0046      
COML25     2587 23.36 P0046      
AERI300    2967 36.60 P0050      
BOTW20     2670 100.97 P0050      
CARA50     3726 55.70 P0050      
ALBA20     3290 95.80 P0047      
ANCA250    1914 39.00 P0047      
ARAA10     1129 33.49 P0047      
ARTT600    2771 357.97 P0047      
CALCA10    3673 154.45 P0047      
CETCR100   2719 948.87 P0047      
CKEMS      3664 340.90 P0047      
COVP220    3757 116.50 P0047      
BACPKG     2830 5088.60 P0049      
BETT0.5     149 402.49 P0048      
CIPT250    3154 341.87 P0048      
CKIAS      3680 246.10 P0048      
CUPC250    1307 953.50 P0048      
ALP        3388 244.74 P0051      
APAT100      36 350.54 P0051      
BABP80     2555 472.66 P0051      
BORPKG      167 20.10 P0051      
CARA10     2879 105.70 P0051      
CORT20     1039 778.34 P0051      
ACEPA      3761 11.10 P0053      
ALKTCO      523 397.69 P0053      
AUGA500    3422 273.68 P0053      
BENLKG     2482 825.52 P0053      
BENT500    1430 174.36 P0053      
BIOA0.5    3876 177.80 P0053      
CALA1      3297 27.15 P0053      
CHOP4       614 47.09 P0053      
CLOT25     2235 10.92 P0053      
AETA32     3750 176.47 P0054      
ATRPKG     4056 1814.70 P0054      
BRIT2.5    1630 14.48 P0054      
CICCR15    4175 74.39 P0054      
CKCES      3678 360.10 P0054      
CKCSS      3901 32.00 P0054      
COUT5      1753 747.84 P0054      
CT         3806 33.00 P0054      
ACACIA     3955 16.60 P0075      
BAMOC3      470 225.54 P0075      
BOTA100    3958 1291.60 P0075      
CHAFLO     1102 468.74 P0075      
CISA50     2309 18.59 P0075      
ADAA5      3781 573.00 P0068      
ALPC1         2 404.30 P0068      
AMB        4198 690.98 P0068      
BETDCR15   3639 793.13 P0068      
CELCR15    3002 101.09 P0068      
CFB50      3466 1287.00 P0068      
CLEA40     3414 12.44 P0068      
COPA10     3238 10.40 P0068      
ADRA50       19 556.49 P0064      
AMECO2       38 902.69 P0064      
AMOC250      69 841.78 P0064      
AETA1       454 543.75 P0060      
ANEAU10     533 441.89 P0060      
BETCR15     154 500.76 P0060      
BREA10     4142 154.27 P0060      
C7PM       4101 1016.50 P0060      
CART30     2473 255.86 P0060      
CASP100    2539 88.40 P0060      
ALPD5      4195 105.20 P0059      
BIPT10     1933  7.64 P0059      
CARBON     3031 60.10 P0059      
CSRL100    2148 293.41 P0059      
AMYA500      92 62.58 P0057      
AREA15     3960 182.30 P0057      
BOTP1      3105 225.73 P0057      
BRIA500    1141 10.05 P0057      
BUFT324    2266 268.77 P0057      
CART60     2474 207.66 P0057      
BICL20     2983 17.40 P0056      
BLUA2      2514 536.76 P0058      
BOTW10     2667 983.85 P0058      
CALCPKG    3168 577.78 P0058      
CHYA5      4155 81.00 P0058      
CKLAS      3683 246.10 P0058      
CKMSS      3905 373.10 P0058      
ALRT5      1139 365.48 P0062      
ARAT250     595 589.08 P0062      
BECI200     127 12.98 P0062      
BWD        2775 958.56 P0062      
CALTCO     2561 569.25 P0062      
CEFC250    4228 141.36 P0062      
BENC50      771 34.86 P0061      
CIBT5      3923 506.59 P0061      
ATET100    1797 982.63 P0063      
ATRCO2      117 592.03 P0063      
BRZ        3272 31.00 P0063      
CKLYS      3855 345.90 P0063      
ALLA10      726 928.23 P0066      
BIS5TAB     164 275.31 P0066      
BONA300    3886 64.40 P0066      
CALA2      3649 42.00 P0066      
CIBT10     3811 540.82 P0066      
CIMIT400   4321 746.70 P0066      
CKKLS      3902 376.10 P0066      
BICCR50    3019 10.20 P0065      
BLA        4096 435.66 P0065      
CALMPKG    3299 639.38 P0065      
CALT1       199 129.78 P0065      
COLP5      2431 56.80 P0065      
BETCO0.5   3250 22.00 P0067      
BRIL15     1631 912.76 P0067      
COLT135    4054 465.05 P0067      
ADRP1      4120 18.70 P0073      
AMMLKG     2921 502.58 P0073      
BUDI200    3394 45.40 P0073      
BUDI50     3494 14.30 P0073      
AMMPKG     3036 13.30 P0072      
BHT        3622 612.00 P0072      
BILT600    1906 481.05 P0072      
COGT2       145 886.74 P0072      
AMMSPKG    3057 761.20 P0071      
BOTB20     2671 89.33 P0071      
BOTW200    2676 619.26 P0071      
CHLL20     2570 19.70 P0071      
CONT10     3646 436.19 P0071      
AVAT220    1902 123.71 P0069      
CALHA0.5   2891 52.10 P0069      
CARA450    3307 433.70 P0069      
CELA1       387 61.66 P0069      
BARC50       88  5.26 P0070      
BOTB50     2673 657.28 P0070      
CALCR50    2735 268.41 P0070      
CETLKG      236 17.26 P0070      
AFLCR20    3334 445.76 P0074      
ALTL1      2505 37.77 P0074      
ALU20      3376 587.25 P0074      
ANDT50      686 710.88 P0074      
COLA1       660 752.38 P0074      
ACEL100    3355 226.92 P0076      
ALLT100    4207 146.61 P0076      
AMIAWE     3029 25.00 P0076      
ANEA0.5    3213 90.05 P0076      
BRIEL115   1628 309.14 P0076      
CAPT       2924 24.60 P0076      
CEFC500    4227 85.72 P0076      
COMCR7     4174 12.80 P0076      
ADAOA5     4137 579.10 P0081      
ALGTCO      511 732.69 P0081      
ALHL300    3875 161.13 P0081      
BETT100    4294 344.61 P0081      
CARER      2888 12.60 P0081      
CKKAS      3682 260.00 P0081      
COTTCO      487 734.37 P0081      
AGIJ15     3246 16.00 P0079      
ALDOT500   4263 339.73 P0079      
ARTT400     991 993.86 P0079      
BETA3       539 563.91 P0079      
CALL100    2548 891.90 P0079      
CKIGS      3663 242.20 P0079      
CONT5      2960 319.20 P0079      
AMSAWO     2768 945.25 P0077      
ANUU25     3117 496.89 P0077      
AQUU15      967 169.77 P0077      
ASMI200    1521 967.13 P0077      
BECS10     3326 15.80 P0077      
BOTB100    2675 66.23 P0077      
BOTW100    2674  7.18 P0077      
BREA100     171 23.63 P0077      
CAPT50     1912 395.82 P0077      
CLE        4197 841.79 P0077      
CLISE      2489 435.93 P0077      
ANTSCO10   2627 14.50 P0078      
CART75      782 253.56 P0078      
CHLTR500   4108 91.03 P0078      
ALUPKG     3056 915.11 P0080      
BETU15      155 977.12 P0080      
BOTP2      3408 241.03 P0080      
CALDT600   4060 219.78 P0080      
ATGA250    2380 832.50 P0082      
BISCPKG    3265 27.90 P0082      
CAMSP300   3328 268.07 P0082      
ALPSH75    3884 255.01 P0084      
ASAT400    4136 824.77 P0084      
B4100      3287 2717.40 P0084      
CAPD       2864 477.02 P0084      
CHYA5       621 969.13 P0084      
CISA10      624 48.27 P0084      
ACATCO     2081 588.06 P0093      
ACTA10     2916 17.40 P0091      
ALPT10      954 726.08 P0091      
ALTL50     2904 296.16 P0091      
AMNSU300     55 235.78 P0091      
ATRCO1      118 562.36 P0091      
CIMT200     623 908.09 P0091      
COM        4203 725.77 P0091      
ADRL100    2232 373.06 P0089      
AGIG200    3941 12.30 P0089      
ALDT250    1163 475.86 P0089      
BC102      3860 349.00 P0089      
BEZT400    3648 351.58 P0089      
AETA0.530  3722 47.13 P0088      
ALCL300    2504 493.01 P0088      
ANTSB10    2626 11.00 P0088      
AZAA500    3025 14.10 P0088      
BORCO1.9    168 450.97 P0088      
ALPL250    3885 17.00 P0086      
BCNA100     217 284.80 P0086      
BETCO5     3647 14.60 P0086      
CART200     209 240.16 P0086      
CIBT20     3812 648.46 P0086      
CORA0.25   1638 934.55 P0086      
CORR       2692 526.13 P0086      
BRIPKG     3269 42.60 P0087      
CO-TAB      243 139.70 P0087      
CORT5      1037 468.32 P0087      
BARS       2869 39.80 P0090      
BENL50     3260 10.00 P0090      
ACELKG     2479 840.73 P0095      
AQUT100     612 882.99 P0095      
BRIIN200   1629 18.80 P0095      
CLOPT10    4183 128.14 P0095      
AGIG100    4172 16.40 P0094      
BACLIB     3166 131.50 P0094      
BREVA100   4184 49.95 P0094      
CALKG      2988 64.90 P0094      
CAPT25     1913  0.97 P0094      
CARA150    3417 159.80 P0094      
CHLLKG     3802 10.00 P0094      
CO-P.TAB   1789 183.50 P0094      
CODT20      657 958.46 P0094      
AETA2       455 27.10 P0096      
AKNCR25    2251 18.50 P0096      
AUGT250    3814 192.21 P0096      
CONSU10    2737 641.16 P0096      
AGICR15    3245 16.00 P0098      
AHID15      393 830.35 P0098      
ALCL951    3440 12.60 P0098      
ALKA100    1113 288.80 P0098      
BOTS20     2678 931.55 P0098      
CARP100     569 271.50 P0098      
CART500     568 543.12 P0098      
ANEA1      3214 129.39 P0097      
ANEAU10     384 193.24 P0097      
BETGU15     386 213.89 P0097      
BORA8      3316 276.57 P0097      
CANCR20     643 539.60 P0097      
CARLKG     2757 12.40 P0097      
ALDT100    1590 383.25 P0099      
ALGFTCO    3120 935.55 P0099      
AMYC200      90 241.65 P0099      
BOTS50     2679 711.27 P0099      
CAFTCO      261 792.46 P0099      
CAST300     219 547.84 P0099      
CHL        3186 106.20 P0099      
CKHCS      3679 324.70 P0099      
CKGPS      3665 340.90 P0100      
